1,0,0,0,0,0
0,0.15,40,40.00 ,1.33,1.75
1,0.150391966,40,40.10 ,1.33,1.75
3,0.150429173,40,40.11 ,1.33,1.75
6,0.150461788,40,40.12 ,1.33,1.75
8,0.150478647,40,40.13 ,1.33,1.75
10,0.15049359,40,40.13 ,1.33,1.75
12,0.150507305,40,40.14 ,1.33,1.75
15,0.150526393,40,40.14 ,1.33,1.75
17,0.150538458,40,40.14 ,1.33,1.75
19,0.15055017,40,40.15 ,1.33,1.75
21,0.150561636,40,40.15 ,1.33,1.75
24,0.150578551,40,40.15 ,1.33,1.75
26,0.150589732,40,40.16 ,1.33,1.75
28,0.150600899,40,40.16 ,1.33,1.75
30,0.150612098,40,40.16 ,1.33,1.75
33,0.150629052,40,40.17 ,1.33,1.75
35,0.150640514,40,40.17 ,1.33,1.75
37,0.150652148,40,40.17 ,1.33,1.75
40,0.150670007,40,40.18 ,1.33,1.75
42,0.150682239,40,40.18 ,1.33,1.75
44,0.150694781,40,40.19 ,1.33,1.75
47,0.15071427,40,40.19 ,1.33,1.75
49,0.150727783,40,40.19 ,1.33,1.75
51,0.150741773,40,40.20 ,1.33,1.75
53,0.1507563,40,40.20 ,1.33,1.75
56,0.150779243,40,40.21 ,1.33,1.75
58,0.150795419,40,40.21 ,1.33,1.75
60,0.150812405,40,40.22 ,1.33,1.75
62,0.150830307,40,40.22 ,1.33,1.75
65,0.150859154,40,40.23 ,1.33,1.75
67,0.150879936,40,40.23 ,1.33,1.75
69,0.150902177,40,40.24 ,1.33,1.75
72,0.150938796,40,40.25 ,1.33,1.75
74,0.15096582,40,40.26 ,1.33,1.75
76,0.15099539,40,40.27 ,1.33,1.75
79,0.151045685,40,40.28 ,1.33,1.75
81,0.151084235,40,40.29 ,1.33,1.75
83,0.151127996,40,40.30 ,1.33,1.75
85,0.151178455,40,40.31 ,1.33,1.75
88,0.151271773,40,40.34 ,1.33,1.75
90,0.151351329,40,40.36 ,1.33,1.75
91,0.151398683,40,40.37 ,1.33,1.75
92,0.151452814,40,40.39 ,1.33,1.75
95,0.15168082,40,40.45 ,1.33,1.75
97,0.151946553,40,40.52 ,1.33,1.75
99,0.152525171,40,40.67 ,1.33,1.75
100,0.153378929,40,40.90 ,1.33,1.75
